A	4	M30
A	4	M34
A	3.5	M1
A	4	M10
A	2.5	M11
A	4.5	M12
A	3	M13
A	4	M2
A	4.5	M3
A	4.5	M4
A	4	M5
A	3.5	M6
A	4	M7
A	4	M8
A	4	M9
A	4	M54
A	4.5	M56
A	4	M59
A	4	M61
A	4	M67
A	4	M73
A	4	M74
A	4	M75
A	3	M85
A	4.5	M86
A	3.5	M87
A	4	M92
A	4	M95
B	3	M21
B	4	M26
B	4	M28
B	3	M30
B	4	M31
B	3	M32
B	3	M34
B	4.5	M36
B	1.5	M38
B	3.5	M44
B	3	M46
B	4	M46
B	4.5	M48
B	3.5	M1
B	3.5	M10
B	4.5	M3
B	4	M4
B	5	M5
B	4.5	M6
B	5	M8
B	3.5	M53
B	3	M54
B	4.5	M55
B	4	M55
B	4	M56
B	3	M58
B	4.5	M59
B	3.5	M60
B	4	M61
B	5	M63
B	4.5	M65
B	4.5	M67
B	3.5	M68
B	4	M71
B	4	M72
B	4	M77
B	4	M78
B	3.5	M79
B	3	M81
B	3	M83
B	4.5	M84
B	2.5	M85
B	4.5	M86
B	3.5	M87
B	3	M88
B	4.5	M91
B	3.5	M94
B	4	M95
B	4	M101
C	4	M27
C	4.5	M28
C	3	M29
C	2.5	M32
C	4	M34
C	3	M34
C	1	M35
C	2.5	M39
C	1.5	M43
C	5	M44
C	3.5	M45
C	5	M46
C	3.5	M49
C	5	M1
C	4.5	M10
C	4.5	M11
C	3.5	M2
C	5	M3
C	5	M6
C	5	M8
C	5	M9
C	2.5	M57
C	4.5	M58
C	4	M61
C	5	M67
C	4.5	M68
C	3	M71
C	3	M72
C	3	M73
C	4.5	M74
C	4	M75
C	3	M76
C	3	M78
C	3	M83
C	5	M84
C	5	M86
C	4	M87
C	3.5	M90
C	3	M94
C	3.5	M99
D	2.5	M22
D	5	M24
D	3	M32
D	5	M37
D	4	M43
D	4.5	M44
D	3	M46
D	5	M10
D	1.5	M11
D	3.5	M2
D	5	M3
D	3	M5
D	4.5	M8
D	4	M9
D	5	M60
D	4.5	M63
D	4	M67
D	2	M68
D	5	M73
D	4.5	M74
D	4.5	M75
D	4.5	M78
D	4	M79
D	3	M81
D	3	M83
