L	4	M7
L	4.5	M8
L	3	M9
L	5	M54
L	3.5	M56
L	4	M58
L	4	M59
L	5	M61
L	5	M63
L	4	M65
L	3.5	M67
L	2	M68
L	4	M69
L	3.5	M71
L	3	M72
L	4	M73
L	4.5	M74
L	4.5	M75
L	4	M78
L	4	M79
L	4.5	M80
L	3.5	M81
L	5	M83
L	5	M84
L	4	M86
L	2.5	M87
L	2.5	M88
L	2.5	M94
L	5	M95
L	3	M101
M	4	M21
M	4	M27
M	3	M43
M	2.5	M46
M	2	M46
M	4	M12
M	2	M2
M	4	M3
M	0.5	M5
M	1	M56
M	2	M57
M	3	M63
M	2.5	M67
M	2	M68
M	2.5	M71
M	3	M78
M	4	M79
M	3.5	M83
M	0.5	M85
M	4	M91
M	3	M92
M	5	M94
M	1.5	M99
N	3.5	M22
N	4	M28
N	4.5	M30
N	3	M36
N	4	M38
N	5	M43
N	4.5	M44
N	5	M45
N	3	M46
N	3.5	M46
N	3.5	M1
N	5	M10
N	4	M11
N	3.5	M12
N	4.5	M2
N	4.5	M3
N	4	M4
N	4	M5
N	5	M8
N	3	M9
N	5	M54
N	3	M56
N	2	M57
N	4.5	M59
N	4	M61
N	5	M62
N	4.5	M64
N	4	M65
N	5	M67
N	5	M68
N	3	M71
N	3	M72
N	4	M73
N	3.5	M74
N	4	M75
N	5	M78
N	4	M79
N	4	M82
N	3.5	M83
N	5	M84
N	5	M86
N	4	M87
N	3	M88
N	5	M90
N	3.5	M95
N	4	M102
N	4	M103
O	5	M38
O	4.5	M46
O	4.5	M46
O	4	M1
O	3.5	M11
O	3	M12
O	4.5	M2
O	3.5	M3
O	3.5	M5
O	5	M9
O	3.5	M56
O	2	M60
O	4.5	M61
O	4	M67
O	3.5	M68
O	3.5	M71
O	3.5	M74
O	4	M78
O	4	M79
O	3	M83
O	2.5	M85
P	4	M21
P	4.5	M26
P	5	M27
P	4.5	M29
P	2.5	M32
P	3.5	M36
P	3	M38
P	3.5	M42
P	2.5	M43
P	5	M44
P	4	M46
P	3.5	M46
P	4.5	M49
P	4	M1
P	5	M10
P	2	M11
P	4	M12
P	4	M2
P	4.5	M3
P	4.5	M5
P	3.5	M6
P	5	M8
P	3	M53
P	3.5	M56
P	4	M57
P	4	M58
P	3.5	M59
P	4.5	M60
P	4.5	M63
P	3.5	M67
P	4	M68
P	3	M70
P	3	M71
P	3.5	M72
P	4	M73
P	4.5	M74
P	4.5	M75
P	4.5	M81
P	4.5	M82
P	4	M83
P	4.5	M84
P	3	M85
P	4	M86
P	5	M90
P	4.5	M91
P	5	M94
P	4.5	M95
P	2	M99
P	3.5	M101
P	3	M102
P	3	M103
